Category,pathway,kegg,subcategory
Carbohydrate and lipid metabolism,ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540],K03274,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540],K03273,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540],K03272,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,ADP-L-glycero-D-manno-heptose biosynthesis [PATH:map00540],K03271,Lipopolysaccharide metabolism
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",M00372,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K15747,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K15746,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K14594,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K09842,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K09841,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K09840,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,"Abscisic acid biosynthesis, beta-carotene => abscisic acid [PATH:map00906]",K09838,Other terpenoid biosynthesis
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],M00098,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K17900,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K16816,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14675,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14674,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14452,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14076,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14075,Lipid metabolism
Carbohydrate and lipid metabolism,Acylglycerol degradation [PATH:map00561],K14074,Lipid metabolism
